ace_diff,df_diff,bpFaced_diff,SvGms_diff,1stServe%_diff,1stServePWon%_diff,2ndServePWon%_diff,BreakPWon%_diff,rank_diff,rank_points_diff,age_diff,outcome
-5.0,-2.0,-4.0,0.0,0.07914438502673804,0.5,0.164021164021164,0.5,-20.0,675.0,-4.377823408600001,yes
7.0,1.0,-5.0,0.0,0.033264033264033266,0.0,0.05128205128205132,-0.07142857142857145,-122.0,728.0,2.0917180014000003,yes
4.0,-2.0,0.0,0.0,-0.027450980392156876,0.3666666666666667,0.1394736842105263,0.3571428571428571,13.0,-926.0,-2.6913073236999985,yes
3.0,1.0,-5.0,0.0,0.06433344659644358,0.16987788331071918,-0.06776556776556775,-0.18681318681318687,-16.0,133.0,6.069815195100002,yes
1.0,0.0,3.0,1.0,0.11538461538461542,0.275,0.1333333333333333,0.6,87.0,-413.0,-4.903490759799997,yes
1.0,-5.0,-4.0,1.0,0.16666666666666663,0.27125506072874495,0.40485829959514175,0.5454545454545455,-52.0,1762.0,-1.1143052703999992,yes
0.0,-2.0,-1.0,1.0,-0.003119429590017875,0.21036585365853655,-0.08974358974358976,0.34343434343434337,-92.0,1215.0,-3.055441478399999,yes
1.0,4.0,9.0,0.0,0.021681649920676893,0.04404761904761911,0.16666666666666669,0.41428571428571426,-9.0,95.0,2.439425051299999,yes
4.0,-1.0,1.0,0.0,0.008297258297258248,0.2220353238015138,0.4575757575757576,0.4,8.0,-130.0,-2.6009582477999977,yes
1.0,2.0,3.0,1.0,-0.0006142506142506887,0.29714285714285704,0.4243421052631579,0.8333333333333334,147.0,-1694.0,-5.442847364799995,yes
0.0,-3.0,2.0,1.0,0.037878787878787956,-0.05580693815987936,0.03194103194103204,0.380952380952381,9.0,-72.0,4.3121149896999995,yes
1.0,-2.0,-1.0,1.0,-0.2678571428571429,0.20128307939053736,0.13262599469496023,0.15555555555555556,-66.0,466.0,-1.2320328541999999,yes
1.0,2.0,-8.0,0.0,0.25555555555555554,0.20588235294117652,0.29020979020979026,0.41666666666666663,-46.0,1726.0,1.834360027399999,yes
